id name
1	haifa
2	haifa
3	haifa
4	haifa
5	haifa
6	haifa
7	haifa
8	haifa
9	haifa
10	haifa
11	haifa
12	haifa
13	haifa
14	haifa
15	haifa
16	haifa
17	haifa
18	haifa
19	haifa
20	haifa
21	haifa
22	haifa
23	haifa
24	haifa
25	haifa
26	haifa
27	haifa
28	haifa
29	haifa
30	haifa
31	haifa
32	haifa
33	haifa
34	haifa
35	haifa
36	haifa
37	haifa
38	haifa
39	haifa
40	haifa
41	haifa
42	haifa
43	haifa
44	haifa
45	haifa
46	haifa
47	haifa
48	haifa
49	haifa
50	haifa
51	haifa
52	haifa
53	haifa
54	haifa
55	haifa
56	haifa
57	haifa
58	haifa
59	haifa
60	haifa
61	haifa
62	haifa
63	haifa
64	haifa
65	haifa
66	haifa
67	haifa
68	haifa
69	haifa
70	haifa
71	haifa
72	haifa
73	haifa
74	haifa
75	haifa
76	haifa
77	haifa
78	haifa
79	haifa
80	haifa
81	haifa
82	haifa
83	haifa
84	haifa
85	haifa
86	haifa
87	haifa
88	haifa
89	haifa
90	haifa
91	haifa
92	haifa
93	haifa
94	haifa
95	haifa
